timestamp,version,control_type,control_value,white_label,black_label,wins,draws,losses,failures,total
"2026-01-07T22:38:25+00:00","0.14.3","clock","5","skaks","sunfish","2","11","7","0/20","20"
"2026-01-07T22:38:25+00:00","0.14.3","clock","10","skaks","sunfish","2","6","12","0/20","20"
"2026-01-07T22:57:44+00:00","0.14.3","clock","5","skaks","sunfish","0","11","9","0/20","20"
"2026-01-07T22:57:44+00:00","0.14.3","clock","10","skaks","sunfish","1","6","13","0/20","20"
"2026-01-08T17:39:34+00:00","0.14.3","clock","5","skaks","sunfish","0","13","7","0/20","20"
"2026-01-08T17:39:34+00:00","0.14.3","clock","10","skaks","sunfish","1","6","13","0/20","20"
"2026-01-08T17:57:40+00:00","0.14.3","clock","5","skaks","sunfish","1","20","9","0/30","30"
"2026-01-08T17:57:40+00:00","0.14.3","clock","10","skaks","sunfish","0","9","21","0/30","30"
"2026-01-08T23:01:52+00:00","0.14.3","clock","5","skaks","sunfish","1","22","7","0/30","30"
"2026-01-08T23:01:52+00:00","0.14.3","clock","10","skaks","sunfish","0","17","13","0/30","30"
