source,game_index,ply,fen,side_to_move,stockfish_cp,result,outcome,winner,weight
lichess_elite_2014-02.pgn,0,20,rnb2rk1/p1p1qpp1/1p5p/3p4/3P4/4PN2/PP3PPP/R2QKB1R w KQ - 0 11,w,11.0,0-1,0.0,b,1.0
lichess_elite_2014-02.pgn,0,56,8/p5pk/1pq2r1p/5p2/P7/4PP1P/4QPK1/R7 w - - 6 29,w,-69.0,0-1,0.0,b,1.0
lichess_elite_2014-02.pgn,8,44,r5k1/bp1r1ppp/8/4p3/P7/1b5P/1PN1B1P1/R3BK2 w - - 1 23,w,-481.0,0-1,0.0,b,1.0
lichess_elite_2014-02.pgn,14,12,rnbq1rk1/ppp1bppp/4pn2/8/2pPP3/2N3P1/PP3PBP/R1BQK1NR w KQ - 0 7,w,-61.0,0-1,0.0,b,1.0
lichess_elite_2014-02.pgn,14,20,r1bq1rk1/pp2bppp/n4n2/3Pp3/2p5/2N3P1/PP2NPBP/R1BQ1RK1 w - - 1 11,w,-80.0,0-1,0.0,b,1.0
lichess_elite_2014-02.pgn,18,12,rn1qkb1r/pp3pp1/2p1pn1p/3p1b2/8/3P1NP1/PPPNPPBP/R1BQ1RK1 w kq - 2 7,w,27.0,0-1,0.0,b,1.0
lichess_elite_2014-02.pgn,18,20,rn1qk2r/1p1nbppb/2p1p2p/p2pP3/8/3P1NP1/PPPNQPBP/R1B2RK1 w kq - 0 11,w,-41.0,0-1,0.0,b,1.0
lichess_elite_2014-02.pgn,18,24,rn1q1rk1/1p1nbppb/2p1p2p/3pP3/p7/P2P1NP1/1PPNQPBP/R1B1R1K1 w - - 2 13,w,-106.0,0-1,0.0,b,1.0
lichess_elite_2014-02.pgn,20,24,rnb2rk1/4ppbp/3p2p1/q1pP4/8/P1N1P3/1P1Q1PPP/2R1KBNR w K - 1 13,w,-63.0,0-1,0.0,b,1.0
lichess_elite_2014-02.pgn,22,32,4r1k1/pnpp1ppp/1p3b2/8/8/2P5/PP1P1PPP/RNB2K2 w - - 0 17,w,-8.0,0-1,0.0,b,1.0
lichess_elite_2014-02.pgn,22,36,6k1/pn1p1ppp/1p3b2/2pPr3/8/2P5/PP3PPP/RNB2K2 w - - 1 19,w,-72.0,0-1,0.0,b,1.0
lichess_elite_2014-02.pgn,22,40,6k1/p2p1ppp/1p1n1b2/2pP3r/2P5/8/PP1N1PPP/R1B2K2 w - - 3 21,w,-216.0,0-1,0.0,b,1.0
lichess_elite_2014-02.pgn,22,48,6k1/p2p1pp1/1p1n1b2/2pP3p/2P5/1P4P1/P2NKP2/1RB3r1 w - - 0 25,w,-253.0,0-1,0.0,b,1.0
lichess_elite_2014-02.pgn,22,56,8/p2p1p2/1p1n1bk1/2pP2pp/2P5/1P4P1/P2NKP2/2B5 w - - 4 29,w,-274.0,0-1,0.0,b,1.0
lichess_elite_2014-02.pgn,22,64,8/p2p1p2/1p3bk1/2pP4/2Pn3p/1P3P2/P4K2/2B2N2 w - - 2 33,w,-238.0,0-1,0.0,b,1.0
lichess_elite_2014-02.pgn,22,68,1B6/3p1p2/pp3bk1/2pP4/2P4p/1P3P2/P1n2K2/5N2 w - - 0 35,w,-237.0,0-1,0.0,b,1.0
