trial,loss,mae,mse,rmse,error_count,evaluated,val_mae,val_mse,val_rmse,val_error_count
0,507.995,507.995,7855831.639303798,2802.825652676919,0,15800,,,,
1,510.7121518987342,510.7121518987342,7931538.708481013,2816.298760515477,0,15800,,,,
2,516.8093670886076,516.8093670886076,7888997.361392405,2808.735900969047,0,15800,,,,
3,502.59012658227846,502.59012658227846,7945683.582278481,2818.808894245667,0,15800,,,,
4,503.2482911392405,503.2482911392405,7969780.011962025,2823.0798805492605,0,15800,,,,
5,492.33696202531644,492.33696202531644,7979088.909113924,2824.728112423198,0,15800,,,,
6,508.245,508.245,7926790.747658228,2815.455690942095,0,15800,,,,
7,489.4084810126582,489.4084810126582,7965457.890759493,2822.3142792324693,0,15800,,,,
8,494.6710126582278,494.6710126582278,7926804.418734177,2815.4581188030797,0,15800,,,,
9,500.4154430379747,500.4154430379747,7904846.196582278,2811.555832022953,0,15800,,,,
10,489.65018987341773,489.65018987341773,7949809.5568987345,2819.5406641683207,0,15800,,,,
11,504.55784810126585,504.55784810126585,7935685.939240506,2817.034955274873,0,15800,,,,
12,491.1724683544304,491.1724683544304,7974534.223227848,2823.9217806497136,0,15800,,,,
13,494.1495569620253,494.1495569620253,7967396.288417721,2822.6576640495605,0,15800,,,,
14,480.4703797468354,480.4703797468354,7988781.24329114,2826.4432142343035,0,15800,,,,
15,482.204746835443,482.204746835443,7956676.0857594935,2820.7580693422633,0,15800,,,,
16,479.4792405063291,479.4792405063291,7956908.555443038,2820.7992759930717,0,15800,,,,
17,483.50835443037977,483.50835443037977,7969579.750126583,2823.0444116461545,0,15800,,,,
18,482.92379746835445,482.92379746835445,7981252.495063291,2825.1110588901265,0,15800,,,,
19,482.9474050632911,482.9474050632911,7964112.491835443,2822.0759188645943,0,15800,,,,
20,503.9817721518987,503.9817721518987,8015392.675696203,2831.1468834548664,0,15800,,,,
21,488.44360759493674,488.44360759493674,7944418.170063291,2818.584426633925,0,15800,,,,
22,493.751582278481,493.751582278481,7958004.439936709,2820.9935200096984,0,15800,,,,
23,491.4467088607595,491.4467088607595,7961464.89278481,2821.6067927308386,0,15800,,,,
24,486.5879746835443,486.5879746835443,7953447.76113924,2820.1857671329453,0,15800,,,,
25,484.8107594936709,484.8107594936709,7964922.928734177,2822.2195039957783,0,15800,,,,
26,485.77867088607593,485.77867088607593,7962978.612848101,2821.8750172266846,0,15800,,,,
27,488.55537974683546,488.55537974683546,7965919.282721519,2822.3960180530157,0,15800,,,,
28,484.68462025316455,484.68462025316455,7941775.494873418,2818.1155928871012,0,15800,,,,
29,486.48645569620254,486.48645569620254,7941389.559746835,2818.04711808494,0,15800,,,,
30,487.7606329113924,487.7606329113924,7951371.047341772,2819.8175556836604,0,15800,,,,
31,484.106582278481,484.106582278481,7977009.34443038,2824.3599884629402,0,15800,,,,
32,483.6206329113924,483.6206329113924,7981941.0330379745,2825.232916599616,0,15800,,,,
33,489.10417721518985,489.10417721518985,7968010.482025317,2822.7664589946717,0,15800,,,,
34,483.53170886075947,483.53170886075947,7979740.116012658,2824.8433790234562,0,15800,,,,
35,487.9862658227848,487.9862658227848,7968060.278924051,2822.7752795651395,0,15800,,,,
36,480.89120253164555,480.89120253164555,7977683.906012658,2824.4794044235227,0,15800,,,,
37,481.4877848101266,481.4877848101266,7982545.489810127,2825.3398892540567,0,15800,,,,
38,480.3743670886076,480.3743670886076,7982046.414367089,2825.2515665630713,0,15800,,,,
39,493.7089873417722,493.7089873417722,7962812.001772152,2821.845495730082,0,15800,,,,
40,496.4293670886076,496.4293670886076,7964815.319367088,2822.2004392613735,0,15800,,,,
41,489.02772151898733,489.02772151898733,7973076.773164557,2823.6637146028133,0,15800,,,,
42,492.6231012658228,492.6231012658228,7967911.250189873,2822.7488818862143,0,15800,,,,
43,479.1417088607595,479.1417088607595,7973281.146265822,2823.6999037195546,0,15800,,,,
44,478.6612658227848,478.6612658227848,7983737.263037975,2825.550789321964,0,15800,,,,
45,481.14367088607594,481.14367088607594,7913349.151139241,2813.0675696007092,0,15800,,,,
46,480.85417721518985,480.85417721518985,7983580.733924051,2825.523090318685,0,15800,,,,
47,478.9086075949367,478.9086075949367,7981743.507468355,2825.1979589877155,0,15800,,,,
48,482.2639873417722,482.2639873417722,7970023.686898734,2823.1230378605064,0,15800,,,,
49,483.7303164556962,483.7303164556962,7966707.595632912,2822.5356677344066,0,15800,,,,
50,484.375,484.375,7962444.059683545,2821.780299683791,0,15800,,,,
51,486.85088607594935,486.85088607594935,7956731.566202532,2820.767903639456,0,15800,,,,
52,484.43126582278484,484.43126582278484,7963147.568481012,2821.904953835443,0,15800,,,,
53,484.9367721518987,484.9367721518987,7955557.010443038,2820.5596980817545,0,15800,,,,
54,482.5570253164557,482.5570253164557,7967026.139050633,2822.5920957606736,0,15800,,,,
55,485.6833544303797,485.6833544303797,7963813.30613924,2822.022910278944,0,15800,,,,
56,479.8487341772152,479.8487341772152,7976067.032025317,2824.19316478624,0,15800,,,,
57,479.1610759493671,479.1610759493671,7975649.506518987,2824.119244387352,0,15800,,,,
58,477.68272151898736,477.68272151898736,7979103.366772152,2824.7306715459,0,15800,,,,
59,483.93784810126584,483.93784810126584,7967639.397721519,2822.7007276226645,0,15800,,,,
60,481.4351898734177,481.4351898734177,7984823.683797468,2825.743032159412,0,15800,,,,
61,478.7553164556962,478.7553164556962,7969340.75949367,2823.0020828000943,0,15800,,,,
62,481.86386075949366,481.86386075949366,7967675.113227848,2822.7070540932596,0,15800,,,,
63,496.04898734177215,496.04898734177215,7959261.201012658,2821.2162627158978,0,15800,,,,
64,477.98164556962024,477.98164556962024,7971259.870253164,2823.341968351189,0,15800,,,,
65,486.7485443037975,486.7485443037975,7969925.645126582,2823.1056737441804,0,15800,,,,
66,492.6713924050633,492.6713924050633,7963559.3078481015,2821.97790704465,0,15800,,,,
67,480.8509493670886,480.8509493670886,7971601.436772152,2823.4024574566324,0,15800,,,,
68,486.275,486.275,7960689.918037974,2821.4694607664946,0,15800,,,,
69,479.41974683544305,479.41974683544305,7970533.352784811,2823.2133027429595,0,15800,,,,
70,480.1876582278481,480.1876582278481,7966516.519430379,2822.5018192076295,0,15800,,,,
71,478.7201898734177,478.7201898734177,7966511.101329114,2822.5008594027236,0,15800,,,,
