trial,loss,mae,mse,rmse,error_count,evaluated,val_mae,val_mse,val_rmse,val_error_count
0,553.8463336875665,553.8463336875665,1179592.0320935175,1086.0902504366372,0,9410,580.0937799043062,1344173.5942583731,1159.3850069146026,0
1,552.3375132837407,552.3375132837407,1174712.3096705633,1083.8414596566065,0,9410,572.6909090909091,1323575.69569378,1150.4675987153137,0
2,556.115302869288,556.115302869288,1188060.305738576,1089.9817914711125,0,9410,580.8794258373206,1346088.123444976,1160.2103789593402,0
9,546.3367693942614,546.3367693942614,1161318.2766206164,1077.6447822082268,0,9410,571.2842105263157,1319239.452631579,1148.581495859819,0
10,547.4875664187035,547.4875664187035,1164682.5791710946,1079.2046048692966,0,9410,572.4038277511962,1323455.081339713,1150.4151778117816,0
11,544.0204038257173,544.0204038257173,1159302.5883103083,1076.7091475000611,0,9410,567.9081339712918,1314586.5550239235,1146.554209369938,0
12,547.8997874601488,547.8997874601488,1168240.582890542,1080.8517858108678,0,9410,572.2421052631579,1327119.451674641,1152.0067064364864,0
13,549.4578108395324,549.4578108395324,1172655.4014877789,1082.8921467476707,0,9410,573.6794258373205,1329132.2344497608,1152.879973999792,0
14,547.4294367693942,547.4294367693942,1162257.4540913922,1078.080448803053,0,9410,572.0813397129186,1318438.2937799043,1148.2326827694394,0
15,544.9488841657811,544.9488841657811,1158549.1820403826,1076.3592253705929,0,9410,568.977990430622,1314178.7272727273,1146.37634626362,0
16,548.3877789585547,548.3877789585547,1168736.056004251,1081.0809664425005,0,9410,572.7808612440191,1326253.8411483255,1151.6309483286411,0
17,550.8171094580234,550.8171094580234,1179077.996918172,1085.8535798707726,0,9410,575.3626794258373,1336071.1674641147,1155.8854473796764,0
18,549.3482465462274,549.3482465462274,1171600.9639744952,1082.4051755116914,0,9410,574.3578947368421,1331324.0899521532,1153.830182458473,0
19,552.745908607864,552.745908607864,1182466.2764080765,1087.4126523119346,0,9410,577.7397129186603,1340526.009569378,1157.8108695159922,0
20,542.3804463336876,542.3804463336876,1154315.8850159405,1074.3909367711274,0,9410,570.3387559808613,1317448.8267942583,1147.801736709898,0
21,545.7151965993623,545.7151965993623,1161732.9177470775,1077.8371480641579,0,9410,569.9004784688996,1318435.8870813397,1148.2316347677151,0
22,542.203294367694,542.203294367694,1153337.77162593,1073.9356459424978,0,9410,566.177990430622,1309447.3588516747,1144.3108663521791,0
23,554.0922422954304,554.0922422954304,1182713.8950053134,1087.526503127769,0,9410,578.0755980861244,1340002.2210526315,1157.584649627245,0
24,541.7543039319872,541.7543039319872,1153028.5521785335,1073.7916707530067,0,9410,565.2411483253588,1306504.1023923445,1143.0241040294577,0
25,544.7723698193412,544.7723698193412,1160357.5577045695,1077.198940634723,0,9410,569.1043062200957,1317969.756937799,1148.028639424034,0
26,544.524867162593,544.524867162593,1157033.8931987248,1075.6550995550222,0,9410,568.5799043062201,1314493.1770334928,1146.5134875061403,0
27,542.1321997874602,542.1321997874602,1153475.495855473,1073.9997652958184,0,9410,566.4545454545455,1310242.2363636363,1144.6581307812548,0
28,544.798087141339,544.798087141339,1157552.449946865,1075.896114848857,0,9410,568.666985645933,1311592.2,1145.2476588057275,0
29,542.6903294367694,542.6903294367694,1154323.144102019,1074.3943149989295,0,9410,564.6468899521531,1305746.8344497608,1142.692799684045,0
30,544.3214665249734,544.3214665249734,1159096.2659936238,1076.6133316997443,0,9410,570.6047846889952,1319485.471770335,1148.6885878123517,0
31,546.1304994686503,546.1304994686503,1159993.4289054198,1077.0299108685049,0,9410,571.3090909090909,1318682.9837320575,1148.339228508744,0
32,542.2532412327312,542.2532412327312,1152133.0462274177,1073.3746066622862,0,9410,565.9645933014355,1306977.8210526316,1143.2313068896563,0
33,541.6759829968119,541.6759829968119,1152472.709989373,1073.532817378851,0,9410,565.2956937799044,1307453.0200956939,1143.4391195405613,0
34,541.9120085015941,541.9120085015941,1153983.277364506,1074.2361366871373,0,9410,566.6708133971292,1310757.0076555023,1144.8829667942057,0
35,544.3669500531349,544.3669500531349,1158537.7907545164,1076.353933775743,0,9410,568.7244019138756,1313159.028708134,1145.9315113514133,0
36,540.0666312433581,540.0666312433581,1146340.8944739639,1070.6731034606053,0,9410,563.6593301435406,1301918.2220095694,1141.0163110181945,0
37,542.2004250797024,542.2004250797024,1152218.6310308182,1073.4144730861506,0,9410,566.2200956937799,1306839.9693779903,1143.1710149308328,0
