trial,loss,mae,mse,rmse,error_count,evaluated,val_mae,val_mse,val_rmse,val_error_count
0,542.7881411596106,542.7881411596106,1163097.7833044725,1078.4701123834968,0,16747,575.2333333333333,1262008.930107527,1123.3917082244852,0
1,544.1534603212516,544.1534603212516,1168792.7669433332,1081.107194936438,0,16747,575.8838709677419,1264786.1365591397,1124.6271100054184,0
2,542.524690989431,542.524690989431,1162418.220994805,1078.1550078698356,0,16747,574.202688172043,1254010.7112903225,1119.8261969119683,0
3,543.9879978503612,543.9879978503612,1172632.53317012,1082.8815877879354,0,16747,575.4854838709678,1264267.6403225807,1124.3965671961919,0
4,542.2269063115782,542.2269063115782,1160827.4229414223,1077.4170144105867,0,16747,579.9258064516129,1268659.3,1126.3477704510274,0
5,547.3687824685019,547.3687824685019,1172576.3678867857,1082.8556542248766,0,16747,579.85,1268954.3596774193,1126.478743553299,0
6,557.251448020541,557.251448020541,1205207.5892995761,1097.8194702680291,0,16747,591.0881720430108,1310211.9806451614,1144.6449146548293,0
7,545.2265480384547,545.2265480384547,1163839.540156446,1078.813950668254,0,16747,581.5913978494624,1272060.3741935485,1127.8565397219402,0
8,550.9334806233952,550.9334806233952,1176348.9474532753,1084.5962140138952,0,16747,584.6860215053763,1279703.476344086,1131.2397961281622,0
9,546.6708664238371,546.6708664238371,1178408.0383949364,1085.5450420848213,0,16747,577.913440860215,1272041.932795699,1127.8483642740716,0
10,539.5785513823371,539.5785513823371,1148782.6907505821,1071.8128058343873,0,16747,572.9016129032258,1249168.2220430106,1117.6619444371408,0
11,546.2772436854362,546.2772436854362,1175987.3946975577,1084.429525002689,0,16747,579.191935483871,1274683.0844086022,1129.0186377596262,0
12,552.3207141577597,552.3207141577597,1198669.1583567206,1094.8375031742019,0,16747,586.0166666666667,1299065.085483871,1139.7653642236505,0
13,541.63814414522,541.63814414522,1161072.758344778,1077.530861898989,0,16747,575.2930107526881,1264872.927419355,1124.6656958489286,0
14,544.1991401445035,544.1991401445035,1176884.5987341017,1084.843121715809,0,16747,576.5994623655914,1270506.5274193548,1127.1674797559388,0
15,542.080492028423,542.080492028423,1154345.7402519854,1074.4048307095354,0,16747,576.5279569892473,1254880.2021505376,1120.2143554474462,0
16,541.3742759897295,541.3742759897295,1157981.5833880694,1076.095527073721,0,16747,575.9435483870968,1261042.8994623655,1122.9616642888418,0
17,543.0703409565892,543.0703409565892,1159877.3493162955,1076.976020771259,0,16747,577.6516129032258,1262508.4838709678,1123.6140279788997,0
18,542.8730518898907,542.8730518898907,1164847.9696064966,1079.2812282285358,0,16747,577.325806451613,1267161.8301075269,1125.6828283790808,0
19,541.4818773511673,541.4818773511673,1161509.8151907804,1077.7336476100115,0,16747,575.2838709677419,1262416.488172043,1123.5730898219497,0
20,544.9495432017675,544.9495432017675,1163646.3650803128,1078.724415724569,0,16747,578.8091397849462,1265623.6360215053,1124.9993937871723,0
21,541.5802830357676,541.5802830357676,1160712.4335701917,1077.3636496421213,0,16747,574.4016129032258,1260012.3682795698,1122.5027252882594,0
22,541.4664118946677,541.4664118946677,1160484.976413686,1077.258082547393,0,16747,574.0225806451613,1259158.688172043,1122.1224033821102,0
23,539.4716665671464,539.4716665671464,1160911.8005612947,1077.456171062793,0,16747,572.894623655914,1260878.8580645162,1122.8886222883,0
24,541.2292350868812,541.2292350868812,1158414.2160386934,1076.2965279321,0,16747,575.1123655913979,1260281.8080645162,1122.6227363030362,0
25,537.2867976353974,537.2867976353974,1148295.718397325,1071.5856094579308,0,16747,569.8344086021506,1244801.48172043,1115.7067185064498,0
26,543.3386278139368,543.3386278139368,1169215.9791007345,1081.3029081162847,0,16747,577.4768817204301,1272296.6930107528,1127.9612994295296,0
27,543.2382516271571,543.2382516271571,1165214.0643100257,1079.4508160680716,0,16747,576.5688172043011,1264639.6,1124.5619591645452,0
28,544.7978145339464,544.7978145339464,1169282.653072192,1081.3337380624873,0,16747,578.4688172043011,1270117.3247311828,1126.9948201882664,0
29,540.899802949782,540.899802949782,1159387.691944826,1076.7486670271878,0,16747,574.0338709677419,1257424.1231182795,1121.3492422605366,0
30,538.8634979399295,538.8634979399295,1151731.3687824686,1073.18748072388,0,16747,571.7236559139785,1248554.4010752689,1117.3873102354746,0
