trial,loss,mae,mse,rmse,error_count,evaluated,val_mae,val_mse,val_rmse,val_error_count
0,456.70459772102436,456.70459772102436,250937.57745577785,500.9367000487964,0,57833,457.8297136533407,251931.2424955042,501.9275271346494,0
1,462.18951117873877,462.18951117873877,254384.36480901908,504.3653088873372,0,57833,461.89860284963345,254501.01452483053,504.480935739727,0
2,297.2398111804679,297.2398111804679,126701.74450573201,355.95188509928136,0,57833,294.7293539908701,125117.10035966247,353.7189567434328,0
3,416.92870852281567,416.92870852281567,217581.01357356526,466.45580023574075,0,57833,412.49073177479596,214369.14780744223,463.00015961924055,0
4,427.9854754206076,427.9854754206076,226936.54875244238,476.3785771342393,0,57833,427.8671323834555,227125.48118688614,476.5768366033815,0
5,302.5623260076427,302.5623260076427,131376.47448688466,362.4589279999662,0,57833,349.38532300456495,167688.00684742013,409.49726109880163,0
6,391.9211177009666,391.9211177009666,198695.52705202912,445.75276449174055,0,57833,390.8656107345414,197338.05886014664,444.22748548479825,0
7,445.29040513201807,445.29040513201807,241747.00240347206,491.67774243245145,0,57833,458.5644625812699,252225.13148429935,502.2202021865502,0
8,362.1639029619767,362.1639029619767,173518.34878010824,416.5553369963086,0,57833,360.69255775349285,173026.05554018536,415.96400750567994,0
9,453.39494752131134,453.39494752131134,248661.99450140924,498.6601994358576,0,57833,437.816502974132,235773.39874118136,485.565030393645,0
10,406.3840540867671,406.3840540867671,209047.74798125637,457.2173968488692,0,57833,413.85696500207496,215352.8157421497,464.0612198214258,0
11,451.5387062749641,451.5387062749641,245767.30783462728,495.7492388643953,0,57833,456.5421911744363,250166.77085350672,500.1667430502619,0
12,252.77554337488976,252.77554337488976,99104.25570176197,314.808284042466,0,57833,249.88601466316226,97365.64019919767,312.03467787923455,0
13,260.9051925371328,260.9051925371328,104067.51519028928,322.5949708074961,0,57833,257.24982708535066,101652.46396458708,318.8298354366904,0
14,258.6702574654609,258.6702574654609,102358.25295246659,319.93476358855816,0,57833,255.04149951583898,100007.61308618066,316.2398031339203,0
15,265.2186467933533,265.2186467933533,106224.71696090467,325.9213355411159,0,57833,261.82694701895144,104411.12131691797,323.1270977756554,0
16,318.29529853198,318.29529853198,141289.6352601456,375.88513572652164,0,57833,315.8611841195186,139737.2619311108,373.8144752830083,0
17,318.9721439316653,318.9721439316653,142088.7499524493,376.9466141941711,0,57833,316.1114953658874,140244.95531885463,374.492930933088,0
18,320.7853647571456,320.7853647571456,143401.34310860583,378.6836979704907,0,57833,317.90268363535756,141565.6832895283,376.2521538669623,0
19,373.25801877820624,373.25801877820624,182336.5593519271,427.00885160840295,0,57833,371.70231013971505,181618.31788629133,426.1670070363159,0
20,420.0035619801843,420.0035619801843,220218.63624574206,469.2745851265995,0,57833,418.8761239452206,219682.7379305575,468.70325146147377,0
21,411.4673802154479,411.4673802154479,212925.68448809502,461.43871151876175,0,57833,410.4376815603818,212528.28122838566,461.00789714318955,0
22,413.19549392215515,413.19549392215515,214326.0500579254,462.9536154496748,0,57833,412.1352192557753,213986.13300594827,462.5863519451782,0
23,253.24724638182352,253.24724638182352,99015.92685836805,314.667962872562,0,57833,249.7177341264352,96949.97143449994,311.3679036678314,0
24,303.3870108761434,303.3870108761434,130780.72624626079,361.6361793934075,0,57833,300.2092267256882,128624.95497302532,358.6432140345406,0
25,300.15114208151056,300.15114208151056,128416.88273131257,358.3530141233816,0,57833,297.2339189376124,126481.30059482639,355.6420962074462,0
26,295.3998409212733,295.3998409212733,125016.94428786333,353.5773526229633,0,57833,292.52151058237655,123153.06999585005,350.9317169989769,0
27,264.9690661041274,264.9690661041274,104340.97632839382,323.0185386760237,0,57833,262.13079264075253,102656.59351224235,320.40067651651793,0
28,247.92670274756628,247.92670274756628,95220.0725018588,308.5774983725463,0,57833,244.53430626642688,93338.13521925578,305.51290515992247,0
29,334.8793422440475,334.8793422440475,154576.92924454896,393.1627261637972,0,57833,332.82701618481116,153564.5255913681,391.87309883604934,0
30,253.1668424601871,253.1668424601871,99157.40974875935,314.8926956103608,0,57833,250.08908562733436,97413.0496610873,312.1106368919318,0
31,348.17284249476944,348.17284249476944,163219.89974581986,404.0048263892646,0,57833,345.9267533545442,162091.08154654864,402.60536701160436,0
32,252.42017533242267,252.42017533242267,98151.11140698218,313.29077772411716,0,57833,249.07269331857796,96229.40565776733,310.2086485863464,0
33,293.7369840748362,293.7369840748362,125370.0496083551,354.07633302489324,0,57833,290.6418591783096,123186.55069857519,350.9794163459948,0
34,251.37051510383344,251.37051510383344,97892.37903964864,312.8775783587706,0,57833,248.20348595933046,96034.63452759718,309.8945538850226,0
35,298.3559732332751,298.3559732332751,128271.89920979372,358.15066551633504,0,57833,295.3038456218011,126213.53472126159,355.2654426217974,0
36,293.97399408642127,293.97399408642127,125304.66366953123,353.9839878716709,0,57833,290.74996541707014,123098.14739244709,350.85345572253823,0
37,272.6981999896253,272.6981999896253,110227.89277747998,332.00586256492517,0,57833,269.67201549315257,108465.75224789044,329.3413916407873,0
38,272.6373350855048,272.6373350855048,110013.74134144865,331.6831942403001,0,57833,269.742011343201,108260.60091298935,329.02978727311205,0
39,271.91005135476286,271.91005135476286,109569.15138415783,331.012313040101,0,57833,268.98153271545164,107799.68702448471,328.32862656869366,0
40,354.6474158352498,354.6474158352498,168010.46987014334,409.8908023731971,0,57833,353.047931940794,167211.62615852815,408.9151821081337,0
41,448.8937803676102,448.8937803676102,244512.36131620355,494.4819120212625,0,57833,449.4086318992945,245159.29035827916,495.1356282457153,0
42,253.30340808880743,253.30340808880743,98969.19136133349,314.59369250087246,0,57833,250.04973025314703,97243.46334209434,311.83884193938115,0
43,258.48823336157557,258.48823336157557,101990.42899382705,319.359404110521,0,57833,252.7440171531332,98637.57884908009,314.06620137970924,0
44,293.29867030933895,293.29867030933895,124325.29452042951,352.5979218889832,0,57833,291.0573384977175,122905.75300871489,350.57916796169576,0
45,300.608614458873,300.608614458873,129504.88101948715,359.86786605570546,0,57833,299.41790012449854,128796.484714345,358.8822713848443,0
46,271.1514879048294,271.1514879048294,111180.37369667836,333.43721102582174,0,57833,267.9214967492046,109292.81926960852,330.5946449499878,0
47,297.00221326924077,297.00221326924077,126695.51247557622,355.9431309571463,0,57833,293.6043021164753,124407.93768156038,352.7150942071524,0
48,300.0053429702765,300.0053429702765,128628.434198468,358.64806454025097,0,57833,297.87135150089915,127201.16447641444,356.6527225136722,0
49,336.7953936333927,336.7953936333927,155959.3682499611,394.9169130968704,0,57833,336.2563978420252,155943.52891132937,394.8968585736399,0
50,325.91069112790274,325.91069112790274,147972.6826725226,384.6721755891926,0,57833,324.0944805643934,146924.34430764974,383.307114866982,0
51,337.2025833001919,337.2025833001919,155529.1599778673,394.3718549514751,0,57833,338.4981325217872,156317.8807580578,395.37056131945104,0
52,389.6370065533519,389.6370065533519,195324.74658067193,441.9555934487897,0,57833,388.5340987688477,194837.6724304883,441.4042052705075,0
53,323.25705047291336,323.25705047291336,146213.860477582,382.3792103103698,0,57833,318.53313044681147,143160.72458154656,378.36586075060546,0
54,260.78188923279095,260.78188923279095,104336.36313177597,323.0113978357048,0,57833,256.8658182321206,101994.4563563425,319.3657094247009,0
55,257.5734269361783,257.5734269361783,102020.14742448083,319.4059289125373,0,57833,253.69304191451099,99652.95199889335,315.67855802840546,0
56,262.11432918921724,262.11432918921724,105226.3782961285,324.386156141301,0,57833,259.1680730391479,103439.18093788906,321.6196215063519,0
57,260.26920616257155,260.26920616257155,104011.49646395656,322.50813395007043,0,57833,256.24927375847284,101612.24540047033,318.76675705046523,0
58,297.2579323223765,297.2579323223765,127550.4754724811,357.1420942320873,0,57833,293.9080785724166,125198.50331996127,353.8340053188236,0
59,307.7816471564678,307.7816471564678,134718.0946864247,367.0396363969765,0,57833,304.68640199197677,132595.84340849356,364.13712171171665,0
60,291.9951757647018,291.9951757647018,123919.3013850224,352.0217342509158,0,57833,288.5580301563148,121561.28053672708,348.65639322508787,0
61,290.24090052392233,290.24090052392233,122559.25070461501,350.0846336310907,0,57833,286.9519297274865,120391.15306404758,346.97428300098494,0
62,257.63747341483236,257.63747341483236,100810.37259004374,317.50649220140957,0,57833,254.8237653894038,99185.68999861668,314.93759699123996,0
63,257.1301160237235,257.1301160237235,100113.02100876662,316.40641745825354,0,57833,254.3932770784341,98600.25425370038,314.0067742162586,0
64,252.77433299327373,252.77433299327373,98243.10770667266,313.4375658830202,0,57833,249.75307788075807,96690.48886429658,310.950942858028,0
65,276.4232877422925,276.4232877422925,113627.23133850915,337.0863855727626,0,57833,273.2405588601466,111717.40143864989,334.2415315885354,0
66,340.6380094409766,340.6380094409766,159342.51921913095,399.1773029859425,0,57833,340.62664268916865,159760.82044542814,399.7009137410473,0
67,267.61368077049434,267.61368077049434,107013.27857797452,327.1288409449318,0,57833,264.53990870106514,105107.96099045512,324.203579546024,0
68,263.3195234554666,263.3195234554666,104237.43727629555,322.85823092542574,0,57833,260.3171254668695,102320.8447226449,319.8762959686837,0
69,271.9162588833365,271.9162588833365,110238.19454290802,332.02137663546307,0,57833,268.6209019228109,108089.47344030987,328.7696358247061,0
70,312.67911054242387,312.67911054242387,138667.0942714367,372.38030865156753,0,57833,309.77666343892656,136732.35101673813,369.7733779177973,0
71,364.061020524614,364.061020524614,175476.05738937977,418.8986242390631,0,57833,362.4072485820999,174425.4015769816,417.64267212173326,0
72,262.7794684695589,262.7794684695589,104999.9224145384,324.0369152034046,0,57833,259.0731083137363,102714.82245123807,320.4915325733865,0
73,254.17877336468797,254.17877336468797,99353.59543859042,315.2040536519009,0,57833,250.95310554710196,97460.37861391617,312.1864484789757,0
74,255.36940846921308,255.36940846921308,99751.53156502343,315.8346585874062,0,57833,251.79416240143865,97789.11772029326,312.71251609152654,0
75,272.21076202168314,272.21076202168314,111233.59419362647,333.5170073528882,0,57833,268.67692626919353,109147.84278600082,330.3753059567268,0
76,278.98869157747305,278.98869157747305,115453.49155326544,339.78447809349007,0,57833,275.53513625674367,113381.05969013694,336.72104135342795,0
