target_cp,original_eval,fitted_eval
-571.000000,-730.000000,-3335.789583
-534.000000,-724.000000,-3645.200232
-16.000000,129.000000,-182.594381
-414.000000,-492.000000,-383.891121
-22.000000,-409.000000,282.708522
-4.000000,-110.000000,168.221372
22.000000,-154.000000,-389.566234
137.000000,353.000000,-110.207614
11.000000,343.000000,-77.852133
-61.000000,-511.000000,140.949321
-41.000000,451.000000,-583.977163
-106.000000,303.000000,-471.184368
-8.000000,-358.000000,-79.046292
-72.000000,-338.000000,-377.516485
-216.000000,-353.000000,598.934960
49.000000,87.000000,395.876935
-197.000000,-430.000000,-714.235533
-492.000000,-50.000000,-432.989781
-749.000000,-26.000000,-1042.376021
65.000000,251.000000,491.164839
-33.000000,-531.000000,51.450993
-17.000000,-523.000000,388.339017
-286.000000,-69.000000,-2490.849291
-289.000000,-2.000000,-2248.741528
5.000000,-125.000000,-579.183428
111.000000,-329.000000,301.438381
85.000000,-27.000000,-604.973615
-8.000000,-204.000000,-1356.528429
15.000000,-370.000000,-454.985351
35.000000,-83.000000,-96.397897
34.000000,-86.000000,-134.572917
32.000000,-347.000000,295.212797
95.000000,7.000000,-404.561687
19.000000,-292.000000,256.266749
-7.000000,98.000000,56.852609
142.000000,-35.000000,1351.404546
27.000000,129.000000,343.537164
119.000000,191.000000,66.008222
0.000000,-55.000000,-47.688191
24.000000,431.000000,473.870742
65.000000,251.000000,491.164839
107.000000,215.000000,-323.421665
-91.000000,-555.000000,541.661766
33.000000,-108.000000,784.970362
15.000000,-29.000000,368.897631
-78.000000,-294.000000,307.172551
-89.000000,-511.000000,321.349045
-176.000000,-758.000000,-1227.226126
-280.000000,-663.000000,-1344.623497
286.000000,-484.000000,2283.910717
155.000000,-439.000000,-64.862879
-49.000000,-502.000000,110.902020
542.000000,503.000000,4890.879495
599.000000,562.000000,4853.344469
-9.000000,-199.000000,209.559800
165.000000,179.000000,-161.054600
235.000000,101.000000,-137.210026
59.000000,15.000000,-196.644542
-73.000000,-746.000000,-224.978340
54.000000,-221.000000,1117.594569
87.000000,-21.000000,890.693649
35.000000,-313.000000,1026.322387
0.000000,-446.000000,-641.674116
-1.000000,-484.000000,-457.591234
-36.000000,-58.000000,-179.115938
-55.000000,267.000000,866.392776
-435.000000,-109.000000,-3309.773916
-485.000000,26.000000,-2920.630672
19.000000,-158.000000,-490.135308
24.000000,93.000000,-287.284089
10.000000,-184.000000,-146.728342
39.000000,-379.000000,-306.306447
16.000000,-237.000000,136.171368
-96.000000,-594.000000,801.729119
364.000000,-364.000000,-93.568926
-126.000000,-549.000000,-56.981874
103.000000,472.000000,-31.704200
344.000000,-288.000000,20.981241
18.000000,-642.000000,107.535516
43.000000,-545.000000,101.999202
95.000000,-301.000000,428.006894
201.000000,-7.000000,28.137456
