fen,outcome,side_to_move
3rr1k1/pb2qppp/1p3n2/1Bp5/7n/PP2P1NP/4QPP1/2R1R1K1 b - - 4 25,0.0,b
3rq1k1/p4ppp/1p3n2/2pb4/7n/PP2P1NP/2Q2PP1/2R1R1K1 b - - 1 27,0.0,b
3rq1k1/p4ppp/1p3n2/8/2P4n/P3P1NP/2Q2Pb1/1R2R1K1 b - - 1 29,0.0,b
3rq1k1/p4ppp/1p3n2/8/2P1N3/P3Pn1P/2Q2P2/1R2RK2 b - - 2 31,0.0,b
4q1k1/p4ppp/1p6/8/2P1n3/P3Pn1P/1Q1r1P2/1RR2K2 b - - 3 33,0.0,b
4q1k1/p4ppp/1p6/4n3/2P1n3/P3P2P/1R2KP2/2R5 b - - 2 35,0.0,b
4q1k1/p4ppp/1p6/8/2P5/P2nP2P/1R6/2R2K2 b - - 2 37,0.0,b
6k1/p4ppp/1p6/8/2P5/P3q2P/1R6/5K2 b - - 0 39,0.0,b
6k1/p4ppp/1p6/8/2P5/P5KP/1q6/8 b - - 1 41,0.0,b
6k1/p4ppp/1p6/6K1/2P5/5q1P/8/8 b - - 3 43,0.0,b
6k1/5ppp/P7/6K1/8/5q1P/8/8 b - - 0 45,0.0,b
3rr1k1/p3qppp/1p2bn2/2p5/7n/PP1BP1NP/4QPP1/2R1R1K1 w - - 3 25,1.0,w
3r2k1/pq2rppp/1p2bn2/1Bp5/7n/PP2P1NP/5PP1/2R1RQK1 w - - 7 27,1.0,w
6k1/p1q1rppp/1p2bn2/2p5/B6n/PP2P1NP/5PP1/2Rr1QK1 w - - 0 29,1.0,w
6k1/p1q1rppp/1p3n2/1Bpb4/8/PP2P1NP/5Pn1/2RQ2K1 w - - 0 31,1.0,w
6k1/p1q1rppp/1p6/1BpQ3n/8/PP2n2P/5P2/2R3K1 w - - 0 33,1.0,w
2Q1r1k1/p4ppp/1p6/1Bp4n/8/PP2n2P/5P2/2R3K1 w - - 1 35,1.0,w
rn1q1rk1/ppb2ppp/2p3b1/2Pp4/1P2n3/3BP3/PBQN1PPP/R4RK1 b - - 3 12,0.0,b
r2q1rk1/ppb2ppp/n1p5/2Pp4/1P2B3/4P3/PBQ2PPP/R4RK1 b - - 0 14,0.0,b
r4rk1/ppb2ppp/n1p2Q2/2P5/1P2p3/4P3/PB3PPP/R4RK1 b - - 0 16,0.0,b
r2r2k1/ppb2p1p/n1p2B2/2P5/1P2p3/4P3/P4PPP/R4RK1 b - - 0 18,0.0,b
3r2k1/ppb2p1p/n1p5/2Pr4/1P2p3/2B1P3/P4PPP/1R3RK1 b - - 4 20,0.0,b
5k2/ppbr1p1p/n1p2B2/2Pr4/1P2p3/4P3/P4PPP/1RR3K1 b - - 8 22,0.0,b
5k2/ppbr1p1p/2p2B2/2P5/1R2p3/4P3/P4PPP/3R2K1 b - - 0 24,0.0,b
r1b2rk1/pp1nqppp/2pb1n2/3pp3/2P5/1P2P3/PBBPNPPP/2RQK2R w K - 8 9,0.0,w
r1b2rk1/pp1n1ppp/2p2n2/3Pp3/8/qP2P3/P1BPNPPP/2RQK2R w K - 0 11,0.0,w
r1b2rk1/p2n1ppn/2p5/4p3/8/qP2P3/P2PNPPP/2RQK2R w K - 0 13,0.0,w
r1b2rk1/p2n1ppn/2R5/q3p3/8/1PN1P3/3P1PPP/3QK2R w K - 2 15,0.0,w
r2q1rk1/p2n1ppn/b7/4p3/2R5/1PN1P3/3PKPPP/3Q3R w - - 6 17,0.0,w
r2qr1k1/p2n1ppn/8/4p3/2P5/2N1P3/2QPKPPP/7R w - - 1 19,0.0,w
2rqr1k1/p2n1pp1/8/4p1n1/2P3K1/2N1P3/2QP1PPP/7R w - - 5 21,0.0,w
2rqr1k1/p4pp1/8/4n1n1/2P1N1K1/3PP3/2Q2PPP/7R w - - 1 23,0.0,w
2rqr1k1/p4pp1/4n3/8/2P1NK2/3QP3/5PPP/7R w - - 1 25,0.0,w
2r1r1k1/p4p2/4n1p1/5K2/2P1N3/3qPP2/6PP/7R w - - 0 27,0.0,w
2r1r1k1/p7/4n1p1/8/2P1p3/3qPP1K/6PP/7R w - - 0 29,0.0,w
2r1r1k1/p7/6p1/6n1/2P1p1K1/4qP2/6PP/R7 w - - 0 31,0.0,w
2r1r3/6k1/6p1/6n1/2P3K1/4qp2/6PP/8 w - - 0 33,0.0,w
4r3/6k1/6p1/6n1/2r2qK1/8/7P/8 w - - 0 35,0.0,w
5k2/p2r1p1p/1p2bnp1/1P6/3rP2n/R4PNP/4B1P1/4R1K1 w - - 0 37,1.0,w
5k2/r4p1p/1p2bnp1/1P6/3rP2n/5PNP/4B1P1/R5K1 w - - 0 39,1.0,w
5k2/1r3p1p/Rp2bnp1/1P6/4P2n/5PNP/4B1P1/6K1 w - - 3 41,1.0,w
5k2/2rn1p1p/1p2b1p1/1P6/3RP2n/5PNP/4B1P1/6K1 w - - 7 43,1.0,w
6k1/3n1p1p/1p2b1p1/1P6/4PP1n/2r3NP/4B1P1/3R2K1 w - - 1 45,1.0,w
8/3n1pkp/1p2b3/1P3p2/4P2n/2r3NP/4BKP1/3R4 w - - 0 47,1.0,w
8/5p1p/1p2bn1k/1P3p2/4PN1n/2r4P/4BKP1/3R4 w - - 4 49,1.0,w
8/5p1p/1p3n2/1P3bk1/3R1N1n/2r4P/4BKP1/8 w - - 2 51,1.0,w
8/5p1p/1p6/1P1R1bk1/8/2r4P/4BKn1/8 w - - 0 53,1.0,w
8/5p2/1p5p/1PrR1bk1/6B1/7P/6K1/8 w - - 2 55,1.0,w
8/5p2/7p/1P3Bk1/2p5/7P/6K1/8 w - - 0 57,1.0,w
8/4kp2/1P5p/8/2p5/7P/6K1/1B6 w - - 1 59,1.0,w
1Q6/5p2/5k1p/8/8/2p4P/6K1/1B6 w - - 1 61,1.0,w
8/5p2/4k2p/8/8/2Q4P/6K1/1B6 w - - 1 63,1.0,w
8/4k3/5p1Q/8/8/7P/6K1/1B6 w - - 0 65,1.0,w
8/2k5/5Q2/8/8/7P/B5K1/8 w - - 1 67,1.0,w
8/2k5/Q7/3B4/8/7P/6K1/8 w - - 5 69,1.0,w
2k5/8/3Q4/3B4/8/7P/6K1/8 w - - 9 71,1.0,w
3r2k1/pb3ppp/1p1r1n2/4q3/1PB1P2n/6NP/4QPP1/2R1R1K1 b - - 0 29,1.0,b
3r4/pbR2kpp/3r1n2/1p2q3/1P2P2n/6NP/4QPP1/4R1K1 b - - 1 31,1.0,b
3r4/pb1r1kpp/5nn1/1p2q3/1P2P3/6NP/4QPP1/2R1R1K1 b - - 5 33,1.0,b
3r1k2/pb1r2pp/5n2/Qp2q3/1P2P2n/6NP/5PP1/2R1R1K1 b - - 9 35,1.0,b
3r4/pb1r1kpp/5n2/Qp2q3/1P2PP2/6NP/6K1/2R1R3 b - f3 0 37,1.0,b
3r4/pb1r1kpp/3q1n2/1Q6/1P2PP1P/6N1/6K1/2R1R3 b - - 0 39,1.0,b
3r4/p2r1kpp/b4n2/Q7/1P2PP1P/8/3qN1K1/2R1R3 b - - 4 41,1.0,b
1r6/p2rk1pp/5n2/8/1P2PP1P/8/3qN1K1/Q1R1R3 b - - 2 43,1.0,b
4r3/p2r1kpp/5n2/2Q5/1P2PP1P/8/3qN1K1/2R1R3 b - - 6 45,1.0,b
4r3/p4kpp/3r1n2/4P3/1P3P1P/8/4N1K1/2R1R3 b - - 0 47,1.0,b
4r3/p5pp/1r3k2/1P6/5P1P/8/4N1K1/2R1R3 b - - 0 49,1.0,b
4r3/p4kpp/8/1r6/5P1P/8/2R1N1K1/R7 b - - 3 51,1.0,b
8/p3rkpp/8/7r/5P2/8/R1R1N1K1/8 b - - 1 53,1.0,b
8/p3r1pp/R4k2/3r4/5P2/6N1/2R3K1/8 b - - 5 55,1.0,b
8/p2r1kpp/8/3r4/5P2/6N1/2R3K1/7R b - - 9 57,1.0,b
8/p4kpp/8/8/5P2/5KN1/3r4/7R b - - 1 59,1.0,b
8/p4kpR/8/8/5P2/3r2N1/4K3/8 b - - 2 61,1.0,b
8/p4kp1/8/8/5P2/1r6/5K2/7R b - - 3 63,1.0,b
8/pr3kp1/8/8/5P2/5K2/8/2R5 b - - 7 65,1.0,b
8/p2r2p1/R5k1/8/5P2/5K2/8/8 b - - 11 67,1.0,b
8/p2r2p1/6k1/R4P2/8/5K2/8/8 b - - 0 69,1.0,b
8/p5p1/5k2/3R1P2/5K2/8/8/8 w - - 0 72,1.0,w
5k2/p5p1/R7/5P2/5K2/8/8/8 w - - 4 74,1.0,w
5k2/R5p1/8/5PK1/8/8/8/8 w - - 3 76,1.0,w
