fen,outcome,side_to_move
r1bq1rk1/ppn2ppp/5n2/4Q1B1/2P5/2N5/PP3PPP/3R1BK1 b - - 0 16,0.0,b
r2q1r1k/ppnb1ppp/5n2/6B1/2P1N3/6Q1/PP3PPP/3R1BK1 b - - 4 18,0.0,b
r2B1r1k/ppnR1ppp/8/8/2P5/6n1/PP3PPP/5BK1 b - - 0 20,0.0,b
r2r3k/pR3ppp/8/5n2/2P5/8/PP3PPP/5BK1 b - - 0 22,0.0,b
2rr2k1/p4ppp/8/5n2/2P5/R7/PP3PPP/5BK1 b - - 4 24,0.0,b
2r3k1/R4ppp/8/5n2/2P5/5P2/Pr4PP/5BK1 b - - 0 26,0.0,b
1r1r2k1/5ppp/8/5n2/2P5/3R1P2/P5PP/5BK1 b - - 4 28,0.0,b
3r1k2/5ppp/8/2P2n2/8/5P2/P5PP/5BK1 b - - 0 30,0.0,b
8/4kppp/8/2P2n2/8/5P2/P2r2PP/5BK1 w - - 4 33,0.0,w
8/3k1ppp/8/2P2n2/8/5P2/r3B1PP/7K w - - 2 35,0.0,w
8/2k2ppp/8/1BP2n2/8/5PP1/7P/r6K w - - 1 37,0.0,w
8/2k2ppB/8/2P5/3n4/5PP1/6KP/r7 b - - 0 39,0.0,b
8/2k2ppB/8/2P5/8/5nPK/7r/8 w - - 0 42,0.0,w
8/5ppr/2k5/2P5/8/5KP1/8/8 w - - 1 44,0.0,w
7r/5pp1/8/2k5/8/6P1/3K4/8 w - - 2 46,0.0,w
4r3/5pp1/8/2k5/8/6P1/4K3/8 w - - 6 48,0.0,w
8/5pp1/8/3k4/4r3/6P1/3K4/8 b - - 10 50,0.0,b
8/5pp1/8/3k4/8/5r2/2K5/8 w - - 2 53,0.0,w
8/5pp1/8/4k3/8/7r/4K3/8 w - - 6 55,0.0,w
8/5pp1/8/4k3/8/r7/8/2K5 b - - 10 57,0.0,b
8/5pp1/4k3/8/8/r7/8/2K5 w - - 14 60,0.0,w
8/5pp1/8/3k4/8/7r/8/2K5 w - - 18 62,0.0,w
8/5pp1/8/8/4k3/4r3/3K4/8 w - - 22 64,0.0,w
8/8/5p2/5p2/4k3/4r3/8/3K4 b - - 1 66,0.0,b
8/8/5p2/8/4k3/4rp2/8/1K6 b - - 1 68,0.0,b
8/8/5p2/8/4k3/4r3/1K6/5q2 b - - 1 70,0.0,b
8/8/8/5p2/4k3/5r2/1K6/5q2 b - - 1 72,0.0,b
8/8/8/8/4kp2/r7/1K6/5q2 b - - 3 74,0.0,b
8/8/8/8/4k3/3r1p2/K7/3q4 b - - 0 77,0.0,b
r2q1rk1/ppbn1ppp/2p2nb1/2Pp4/1P1B1P2/3BP3/P1Q3PP/RN3RK1 w - - 3 14,1.0,w
r2qr1k1/ppbn1ppp/2p2n2/2Pp4/1P1B1P2/2NQP3/P5PP/R4RK1 w - - 1 16,1.0,w
r2q2k1/ppbnrppp/5n2/1pPp4/3B1P2/2NQP3/P5PP/R2R2K1 w - - 0 18,1.0,w
rb1q2k1/pp2rppp/3N1n2/2np4/3B1P2/3QP3/P5PP/R2R2K1 w - - 0 20,1.0,w
rb1q2k1/pn2rp1p/5p2/3p4/5P2/3QP3/P5PP/R2R2K1 w - - 0 22,1.0,w
rb4k1/p3rp1p/5p2/n2q4/5P2/4P3/P5PP/2RR2K1 w - - 0 24,1.0,w
rbR5/p4pkp/5p2/n2R4/5P2/4r3/P5PP/6K1 w - - 0 26,1.0,w
r1R5/p4pkp/5p2/R7/5b2/8/P4KPP/4r3 w - - 0 28,1.0,w
R7/p3rpkp/R4p2/8/8/8/P4KPb/8 w - - 0 30,1.0,w
8/R4pkp/8/5p2/8/8/P4KPb/8 w - - 0 32,1.0,w
8/5p1p/1R6/5pk1/8/8/P4KPb/8 w - - 4 34,1.0,w
8/1R3p1p/8/4bpk1/8/5K2/P5P1/8 w - - 8 36,1.0,w
